[21468:9944:0511/090430.090:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[21468:9724:0511/090430.168:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[21468:9944:0511/090430.200:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[21468:1968:0511/090434.744:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\caspe\Documents\GitHub\Project-publish\ProjectPublish\Saved\webcache_6613_1\Default\shared_proto_db\metadata: IO error: C:\Users\caspe\Documents\GitHub\Project-publish\ProjectPublish\Saved\webcache_6613_1\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[21468:1968:0511/090434.746:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\caspe\Documents\GitHub\Project-publish\ProjectPublish\Saved\webcache_6613_1\Default\shared_proto_db\metadata: IO error: C:\Users\caspe\Documents\GitHub\Project-publish\ProjectPublish\Saved\webcache_6613_1\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[21468:1968:0511/090434.749:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\caspe\Documents\GitHub\Project-publish\ProjectPublish\Saved\webcache_6613_1\Default\shared_proto_db\metadata: IO error: C:\Users\caspe\Documents\GitHub\Project-publish\ProjectPublish\Saved\webcache_6613_1\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[21468:1968:0511/090434.751:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\caspe\Documents\GitHub\Project-publish\ProjectPublish\Saved\webcache_6613_1\Default\shared_proto_db\metadata: IO error: C:\Users\caspe\Documents\GitHub\Project-publish\ProjectPublish\Saved\webcache_6613_1\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[21468:9536:0511/090435.219:WARNING:value_store_frontend.cc(47)] Reading ahfgeienlihckogmohjhadlkjgocpleb.alarms from  failed: IO error: .../MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[21468:9536:0511/090435.220:WARNING:value_store_frontend.cc(47)] Reading mhjfbmdgcfjbbpaeojofohoefgiehjai.alarms from  failed: IO error: .../MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[3996:22364:0511/090436.156:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-30D92DF5BFA4DC9E294F6E8D74CF096F will be ignored
[21468:9944:0511/090447.797:ERROR:extension_registrar.cc(549)] Failed to unregister service worker for extension fheoggkfdfchfphceeifdbepaooicaho
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:47.210] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:47.246] USB: usb_service_win.cc:308 SetupDiEnumDeviceInterfaces: No more data is available. (0x103)
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:48.082] USB: usb_service_win.cc:705 Got duplicate add event for path: \\?\usb#vid_03f0&pid_124c#(null)#{a5dcbf10-6530-11d2-901f-00c04fb951ed}
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:47.341] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:47.377] USB: usb_service_win.cc:308 SetupDiEnumDeviceInterfaces: No more data is available. (0x103)
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:48.082] USB: usb_service_win.cc:705 Got duplicate add event for path: \\?\usb#vid_03f0&pid_124c#(null)#{a5dcbf10-6530-11d2-901f-00c04fb951ed}
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:47.471] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:47.496] USB: usb_service_win.cc:308 SetupDiEnumDeviceInterfaces: No more data is available. (0x103)
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:48.082] USB: usb_service_win.cc:705 Got duplicate add event for path: \\?\usb#vid_03f0&pid_124c#(null)#{a5dcbf10-6530-11d2-901f-00c04fb951ed}
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:47.517] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:47.526] USB: usb_service_win.cc:308 SetupDiEnumDeviceInterfaces: No more data is available. (0x103)
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:48.082] USB: usb_service_win.cc:705 Got duplicate add event for path: \\?\usb#vid_03f0&pid_124c#(null)#{a5dcbf10-6530-11d2-901f-00c04fb951ed}
[21468:9944:0511/091148.082:ERROR:device_event_log_impl.cc(196)] [09:11:47.549] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
